ID,X,Y,AI2015,PTAL2015
695,532745,157652,0,0
696,532845,157652,0,0
697,532945,157652,0,0
698,533045,157652,0,0
699,533138,157652,0,0
700,540356,157633,0,0
701,540445,157652,0,0
702,540545,157652,0,0
703,540645,157652,1.25891072749304,1a
704,540745,157652,1.25722248123334,1a
705,540845,157652,1.24974614531423,1a
706,540945,157652,0,0
707,541045,157652,0,0
708,541151,157652,0,0
709,542558,157652,1.26618340666646,1a
710,542645,157652,1.25932028187786,1a
711,542745,157652,0,0
712,542845,157652,0,0
713,542945,157652,0,0
714,543045,157652,1.26628361587286,1a
715,543145,157652,1.48458811958357,1a
716,543245,157652,1.48645468171289,1a
717,543345,157652,1.4113330040223,1a
718,543445,157652,1.34792083211646,1a
719,543545,157652,0,0
720,543645,157652,0,0
721,543745,157652,0,0
722,543845,157652,0,0
723,543945,157652,0,0
724,544045,157652,0,0
725,544145,157652,0,0
726,544245,157652,0,0
727,544345,157652,0,0
728,544445,157652,0,0
729,544545,157652,0,0
730,544645,157652,0,0
731,544745,157652,0,0
732,544845,157652,0,0
733,544945,157652,0,0
734,545045,157652,0,0
735,545145,157652,0,0
736,545245,157652,0,0
737,545345,157652,0.565229883703951,1a
738,545445,157652,0.567651436788859,1a
739,545565,157674,0.572331583482511,1a
740,528556,157748,0,0
741,528645,157752,0,0
742,528745,157752,1.79243592041584,1a
743,528845,157752,1.93854802752738,1a
744,528945,157752,2.16686680089203,1a
745,529045,157752,2.4749667426344,1a
746,529145,157752,2.60487328376838,1b
747,529245,157752,2.88610700241711,1b
748,529345,157752,1.87179747151358,1a
749,529445,157752,1.83449772980906,1a
750,529545,157752,1.88164455734312,1a
751,529645,157752,1.71543750804111,1a
752,529745,157752,0,0
753,529845,157752,0,0
754,529945,157752,0,0
755,530045,157752,0,0
756,530145,157752,0,0
757,530245,157752,0,0
758,530345,157752,0,0
759,530445,157752,0,0
760,530545,157752,0,0
761,530645,157752,2.4719587182894,1a
762,530745,157752,3.99125979672987,1b
763,530845,157752,4.57092957406033,1b
764,530945,157752,4.64509045518211,1b
765,531045,157752,4.62455388635514,1b
766,531145,157752,5.34545257087012,2
767,531245,157752,5.96283995818285,2
768,531345,157752,5.17945046607749,2
769,531445,157752,4.42456529916263,1b
770,531545,157752,4.12557275926267,1b
771,531645,157752,2.66158464264711,1b
772,531745,157752,2.62101556486347,1b
773,531845,157752,0.915478451925938,1a
774,531945,157752,0.914250885680546,1a
775,532045,157752,0.879778295869441,1a
776,532145,157752,0.848764340580838,1a
777,532245,157752,0,0
778,532345,157752,0,0
779,532445,157752,0,0
780,532545,157752,0,0
781,532645,157752,0,0
782,532745,157752,0,0
783,532845,157752,0,0
784,532945,157752,0,0
785,533045,157752,0,0
786,533138,157752,0,0
787,540344,157752,0,0
788,540445,157752,0,0
789,540545,157752,1.2441615129004,1a
790,540645,157752,1.27050677338924,1a
791,540745,157752,1.29792170287327,1a
792,540845,157752,1.3267145020951,1a
793,540945,157752,1.28159259239482,1a
794,541045,157752,0,0
795,541195,157752,0,0
796,542536,157752,1.25609073162051,1a
797,542645,157752,0,0
798,542745,157752,0,0
799,542845,157752,0,0
800,542945,157752,0,0
801,543045,157752,1.54450093313598,1a
802,543145,157752,1.57814791191304,1a
803,543245,157752,1.56440458109808,1a
804,543345,157752,1.37889826029003,1a
805,543445,157752,1.34792083211646,1a
806,543545,157752,0,0
807,543645,157752,0,0
808,543745,157752,0,0
809,543845,157752,0,0
810,543945,157752,0,0
811,544045,157752,0,0
812,544145,157752,0,0
813,544245,157752,0,0
814,544345,157752,0,0
815,544445,157752,0,0
816,544545,157752,0,0
817,544645,157752,0,0
818,544745,157752,0,0
819,544845,157752,0,0
820,544945,157752,0,0
821,545045,157752,0,0
822,545145,157752,0,0
823,545245,157752,0.559585782168799,1a
824,545345,157752,0.571090449622684,1a
825,545495,157752,0.579964171102319,1a
826,528636,157854,0,0
827,528745,157852,1.80158539514773,1a
828,528845,157852,1.99150292087095,1a
829,528945,157852,2.0415280837707,1a
830,529045,157852,1.93358147628946,1a
831,529145,157852,2.34730304660375,1a
832,529245,157852,2.70185076777593,1b
833,529345,157852,2.02791766654274,1a
834,529445,157852,1.8628912071535,1a
835,529545,157852,2.04204919636856,1a
836,529645,157852,1.85329616444915,1a
837,529745,157852,1.79147259046937,1a
838,529845,157852,0,0
839,529945,157852,0,0
840,530045,157852,0,0
841,530145,157852,0,0
842,530245,157852,1.89580947114815,1a
843,530345,157852,1.88594733492067,1a
844,530445,157852,0,0
845,530545,157852,0,0
846,530645,157852,3.9673660637967,1b
847,530745,157852,4.29256783806015,1b
848,530845,157852,4.69879582438242,1b
849,530945,157852,4.40543446764176,1b
850,531045,157852,4.40137250663481,1b
851,531145,157852,5.32540437828719,2
852,531245,157852,6.13901889199999,2
853,531345,157852,4.2592159483821,1b
854,531445,157852,4.07330625763159,1b
855,531545,157852,3.79322754326149,1b
856,531645,157852,3.64690542877066,1b
857,531745,157852,3.45025370251822,1b
858,531845,157852,0.897162722888864,1a
859,531945,157852,0.92017836123902,1a
860,532045,157852,0.901198594130193,1a
861,532145,157852,0.863508145760175,1a
862,532245,157852,0,0
863,532345,157852,0,0
864,532445,157852,0,0
865,532545,157852,0,0
866,532645,157852,0,0
867,532745,157852,0,0
868,532845,157852,0,0
869,532945,157852,0,0
870,533045,157852,0,0
871,533145,157852,0,0
872,533250,157863,0,0
873,540342,157852,0,0
874,540445,157852,0,0
875,540545,157852,0,0
876,540645,157852,1.29799189836723,1a
877,540745,157852,1.36864435776364,1a
878,540845,157852,1.35405794239612,1a
879,540945,157852,1.26725312325093,1a
880,541045,157852,0,0
881,541145,157852,0,0
882,541245,157837,0,0
883,542495,157852,0,0
884,542645,157852,0,0
885,542745,157852,0,0
886,542845,157852,0,0
887,542945,157852,0,0
888,543045,157852,1.54450093313598,1a
889,543145,157852,1.74342583175941,1a
890,543245,157852,1.6131959428122,1a
891,543345,157852,1.46419136981203,1a
892,543445,157852,1.31830466020697,1a
893,543545,157852,0,0
894,543645,157852,0,0
895,543745,157852,0,0
896,543845,157852,0,0
897,543945,157852,0,0
898,544045,157852,0,0
899,544145,157852,0,0
900,544245,157852,0,0
901,544345,157852,0,0
902,544445,157852,0,0
903,544545,157852,0,0
904,544645,157852,0,0
905,544745,157852,0,0
906,544845,157852,0,0
907,544945,157852,0,0
908,545045,157852,0,0
909,545145,157852,0,0
910,545245,157852,0.544851906224933,1a
911,545345,157852,0.558232140835766,1a
912,545460,157852,0.570839609926266,1a
913,528734,157952,0,0
914,528845,157952,1.82368049117795,1a
915,528945,157952,1.90322120188419,1a
916,529045,157952,1.94707209034414,1a
917,529145,157952,2.17965833855543,1a
918,529245,157952,2.58300597320131,1b
919,529345,157952,2.43548501669322,1a
920,529445,157952,2.32000618668316,1a
921,529545,157952,2.08474487934539,1a
922,529645,157952,1.90906487638805,1a
923,529745,157952,1.84622485480211,1a
924,529845,157952,0,0
925,529945,157952,0,0
926,530045,157952,0,0
927,530145,157952,0,0
928,530245,157952,2.05030071077091,1a
929,530345,157952,2.06005047123655,1a
930,530445,157952,1.9363114879747,1a
931,530545,157952,1.9363114879747,1a
932,530645,157952,2.43395365346585,1a
933,530745,157952,4.58637780804763,1b
934,530845,157952,5.08298843540587,2
935,530945,157952,5.20849035710027,2
936,531045,157952,4.82926071221437,1b
937,531145,157952,5.03699517408537,2
938,531245,157952,5.31818897097945,2
939,531345,157952,4.12721032315,1b
940,531445,157952,4.19290941104974,1b
941,531545,157952,3.81251622552953,1b
942,531645,157952,0.823420833233265,1a
943,531745,157952,0.868841183072078,1a
944,531845,157952,0.919367628299668,1a
945,531945,157952,0.902316698122429,1a
946,532045,157952,0.898509597205635,1a
947,532145,157952,0.867014435790356,1a
948,532245,157952,0,0
949,532345,157952,0,0
950,532445,157952,0,0
951,532545,157952,0,0
952,532645,157952,0,0
953,532745,157952,0,0
