Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Croydon__Shirley,00AHGY,E05000163,14700.00,6476.00,1800.00,320000.00,39500.00,2.00
Croydon__South_Norwood,00AHGZ,E05000164,16900.00,7805.00,2600.00,240000.00,34430.00,3.90
Croydon__Thornton_Heath,00AHHA,E05000165,16900.00,7275.00,2100.00,250000.00,33720.00,3.30
Croydon__Upper_Norwood,00AHHB,E05000166,16600.00,7616.00,2900.00,289750.00,37430.00,3.00
Croydon__Waddon,00AHHC,E05000167,17650.00,7964.00,7700.00,243250.00,34630.00,3.60
Croydon__West_Thornton,00AHHD,E05000168,18000.00,7397.00,7100.00,235000.00,32400.00,3.10
Croydon__Woodside,00AHHE,E05000169,17100.00,7821.00,1600.00,250000.00,33890.00,3.70
Ealing__Acton_Central,00AJGC,E05000170,15850.00,7576.00,3000.00,570000.00,36500.00,3.10
Ealing__Cleveland,00AJGD,E05000171,14850.00,6625.00,2600.00,500000.00,41730.00,3.00
Ealing__Dormers_Wells,00AJGE,E05000172,14150.00,5600.00,1600.00,265000.00,29350.00,3.30
Ealing__Ealing_Broadway,00AJGF,E05000173,15550.00,7745.00,11900.00,459970.00,45540.00,5.00
Ealing__Ealing_Common,00AJGG,E05000174,14200.00,7687.00,3100.00,536000.00,43600.00,3.60
Ealing__East_Acton,00AJGH,E05000175,19800.00,9269.00,18900.00,390500.00,32930.00,4.00
Ealing__Elthorne,00AJGJ,E05000176,15100.00,7500.00,3900.00,408750.00,38970.00,3.80
Ealing__Greenford_Broadway,00AJGK,E05000177,17750.00,7668.00,4800.00,249000.00,30500.00,3.40
Ealing__Greenford_Green,00AJGL,E05000178,14500.00,7003.00,8800.00,307000.00,35420.00,2.60
Ealing__Hanger_Hill,00AJGM,E05000179,15750.00,7640.00,9400.00,519000.00,44760.00,3.70
Ealing__Hobbayne,00AJGN,E05000180,14300.00,6644.00,1500.00,386250.00,36220.00,3.10
Ealing__Lady_Margaret,00AJGP,E05000181,14100.00,6368.00,1100.00,285000.00,32520.00,3.00
Ealing__Northfield,00AJGQ,E05000182,13700.00,7455.00,2200.00,615000.00,48480.00,3.40
Ealing__North_Greenford,00AJGR,E05000183,14900.00,7263.00,2100.00,345000.00,36480.00,2.60
Ealing__Northolt_Mandeville,00AJGS,E05000184,15350.00,6724.00,4100.00,300000.00,31950.00,3.20
Ealing__Northolt_West_End,00AJGT,E05000185,15200.00,6057.00,1600.00,226111.00,28550.00,2.50
Ealing__Norwood_Green,00AJGU,E05000186,14200.00,5521.00,10200.00,257500.00,29020.00,2.30
Ealing__Perivale,00AJGW,E05000187,15450.00,7544.00,6300.00,367500.00,36040.00,2.30
