,id,lat,lon,amenity
355,5191391,51.5628898,-0.3693939,school
356,5197841,51.4645585,-0.081684,community_centre
357,5200419,51.3654892,-0.1622333,parking
358,5200422,51.3632276,-0.1644406,grave_yard
359,5209025,51.5274343,0.2481854,parking
360,5209026,51.5200957,0.2544501,parking
361,5209031,51.5198296,0.254562,parking
362,5210822,51.6039885,0.2309049,school
363,5211116,51.531612,-0.3360658,parking
364,5211117,51.6118955,0.2388108,school
365,5211234,51.6098006,0.2361009,school
366,5211981,51.5110169,-0.339391,school
367,5211983,51.5165444,-0.3371636,school
368,5211985,51.526094,-0.3418076,school
369,5211993,51.526348,-0.3410194,parking
370,5214619,51.4565987,0.1198051,swimming_pool
371,5216490,51.5351248,-0.3117046,school
372,5216591,51.532855,-0.3124007,school
373,5216974,51.5236798,-0.3303116,school
374,5217109,51.4687455,-0.329432,school
375,5228133,51.4203635,-0.2465178,parking
376,5228143,51.438507,-0.2321171,parking
377,5228334,51.522374,0.2907447,parking
378,5230708,51.4666352,-0.3300516,library
379,5230710,51.4660387,-0.3309611,parking
380,5230711,51.4657604,-0.330887,community_centre
381,5235501,51.3699332,-0.170615,school
382,5239874,51.3571267,-0.2170853,parking
383,5240949,51.3614359,-0.215622,grave_yard
384,5247067,51.4043806,-0.2163198,parking
385,5247896,51.3600158,-0.2164585,parking
386,5261045,51.3645069,-0.1709157,school
387,5317762,51.4889595,-0.1566653,grave_yard
388,5371088,51.5579936,0.0441327,parking
389,5450707,51.3728564,-0.1354768,school
390,5450728,51.3702146,-0.1353397,school
391,5454217,51.4591127,-0.0622128,parking
392,5458326,51.4193306,-0.2039403,parking
393,5458380,51.4191219,-0.2004127,parking
394,5548355,51.472928,-0.0710959,parking
395,5548356,51.4714877,-0.0718733,school
396,5552546,51.4733798,-0.0855819,college
397,5552548,51.4730351,-0.0863806,grave_yard
398,5596994,51.5183294,-0.0547665,parking
399,5596998,51.518286,-0.0536405,parking
400,5597005,51.5177651,-0.0539812,parking
401,5598932,51.5204951,-0.0585619,parking
402,5655418,51.5368173,-0.3365377,school
403,5785799,51.5221989,0.2989162,parking
404,5786706,51.5800074,0.2237478,college
405,5787359,51.564451,0.2192074,parking
406,5790588,51.6506105,-0.0622381,restaurant
407,5831179,51.5308983,-0.0849976,school
408,5929592,51.5290236,-0.0617111,school
409,5983916,51.5289867,-0.1656637,place_of_worship
410,5984714,51.5415887,-0.1499159,parking
411,5984807,51.6262506,-0.1771813,school
412,5985469,51.4663482,-0.1900644,parking
413,5987419,51.5058315,-0.1173955,theatre
414,5991334,51.6396647,-0.2004487,school
415,5996734,51.5584016,-0.2818564,arena
416,6008166,51.5389461,-0.0905469,school
417,6063082,51.6532425,-0.0576563,fuel
418,6069986,51.4217699,-0.3744599,grave_yard
419,6075956,51.6342321,0.2989766,parking
420,6083578,51.5487566,-0.0627011,school
421,6107740,51.4560641,-0.3596348,place_of_worship
422,6107745,51.4576554,-0.3565747,parking
423,6134866,51.5764034,-0.3240738,hospital
424,6220025,51.3502205,-0.3149485,parking
425,6220402,51.3500233,-0.3135014,parking
426,6220422,51.3497944,-0.3141574,parking
