,id,lat,lon,amenity,classification,tags
7127,221487484,51.5337275,-0.0461926,park,,"{u'leaf_cycle': u'deciduous', u'name': u'Pagoda Island', u'leisure': u'park'}"
7128,221542449,51.5384258,-0.0352664,playground,,"{u'name': u'Pools Playground', u'leisure': u'playground'}"
7129,221542453,51.5395752,-0.0353956,garden,,"{u'name': u'English Garden', u'leisure': u'garden'}"
7130,221543645,51.5382998,-0.0385942,park,,{u'leisure': u'park'}
7131,221550494,51.5159553,-0.1552744,playground,,"{u'access': u'private', u'leisure': u'playground'}"
7132,221550498,51.5155275,-0.1561232,pitch,,"{u'sport': u'tennis', u'leisure': u'pitch', u'barrier': u'fence'}"
7133,221587051,51.5381025,-0.0348726,pitch,,"{u'sport': u'skateboard', u'surface': u'asphalt', u'leisure': u'pitch'}"
7134,221590125,51.5384061,-0.0374433,park,,{u'leisure': u'park'}
7135,221645960,51.5293298,-0.3313728,sports_centre,,"{u'name': u'Gurnell Leisure Centre', u'leisure': u'sports_centre'}"
7136,221646379,51.5291374,-0.3303736,playground,,{u'leisure': u'playground'}
7137,221661333,51.388872,-0.0974137,playground,,"{u'source': u'survey', u'name': u'Boulogne Road Playground', u'leisure': u'playground'}"
7138,221661424,51.391116,-0.1015173,playground,,{u'leisure': u'playground'}
7139,221661430,51.3890272,-0.0957994,garden,,"{u'source': u'survey', u'leisure': u'garden', u'created_by': u'Potlatch 0.5d'}"
7140,221661431,51.3867088,-0.1000324,playground,,"{u'source': u'survey', u'leisure': u'playground'}"
7141,221832209,51.522958,-0.3545122,playground,,{u'leisure': u'playground'}
7142,221846013,51.5328772,-0.3404639,pitch,,"{u'sport': u'basketball', u'leisure': u'pitch'}"
7143,221846014,51.5329948,-0.3401392,pitch,,"{u'sport': u'tennis', u'leisure': u'pitch'}"
7144,221853257,51.531695,-0.3449402,playground,,{u'leisure': u'playground'}
7145,221900747,51.5267809,-0.3601956,playground,,{u'leisure': u'playground'}
7146,222014523,51.5295988,-0.3305952,pitch,,"{u'sport': u'bmx', u'name': u'Gurnell BMX Track', u'leisure': u'pitch'}"
7147,222014524,51.5294442,-0.3297288,pitch,,"{u'sport': u'skateboard', u'name': u'Gurnell Skatepark', u'leisure': u'pitch'}"
7148,222033211,51.5355567,-0.3272105,pitch,,"{u'name': u'Ealing Central Sports Ground', u'leisure': u'pitch'}"
7149,222147879,51.5325739,-0.4156231,playground,,{u'leisure': u'playground'}
7150,222156603,51.5379334,-0.3422113,playground,,{u'leisure': u'playground'}
7151,222161665,51.5209467,-0.3344856,pitch,,"{u'sport': u'basketball', u'leisure': u'pitch'}"
7152,222162713,51.5200467,-0.3353355,park,,"{u'name': u'Cuckoo Park', u'leisure': u'park'}"
7153,222162714,51.5211122,-0.3346721,playground,,{u'leisure': u'playground'}
7154,222181355,51.5061405,-0.3351329,playground,,{u'leisure': u'playground'}
7155,222212960,51.5055709,-0.3528991,park,,{u'leisure': u'park'}
7156,222216441,51.5084823,-0.3523964,park,,{u'leisure': u'park'}
7157,222254762,51.4263672,-0.0140183,recreation_ground,,{u'leisure': u'recreation_ground'}
7158,222312712,51.5405656,-0.3452888,playground,,{u'leisure': u'playground'}
7159,222316491,51.5298044,-0.3594966,pitch,,"{u'sport': u'tennis', u'leisure': u'pitch'}"
7160,222316493,51.5301222,-0.3594196,pitch,,"{u'sport': u'basketball', u'leisure': u'pitch'}"
7161,222316498,51.5303217,-0.3592422,pitch,,{u'leisure': u'pitch'}
7162,222316499,51.5302565,-0.3554342,playground,,{u'leisure': u'playground'}
7163,222376988,51.538283,-0.3813824,park,,"{u'name': u'Medlar Fields', u'leisure': u'park'}"
7164,222377638,51.5348095,-0.3836112,recreation_ground,,"{u'name': u'Rectory Fields', u'leisure': u'recreation_ground'}"
7165,222467724,51.5260584,-0.3561334,pitch,,"{u'access': u'private', u'leisure': u'pitch'}"
7166,222492843,51.4531618,-0.1793405,playground,,"{u'name': u""Wandsworth One O'Clock Centre"", u'leisure': u'playground'}"
7167,222517940,51.5315102,-0.369164,pitch,,{u'leisure': u'pitch'}
7168,222517941,51.5316266,-0.3696636,pitch,,"{u'sport': u'tennis', u'leisure': u'pitch'}"
7169,222517942,51.5310809,-0.3676524,pitch,,{u'leisure': u'pitch'}
7170,222517944,51.5312344,-0.3684563,pitch,,{u'leisure': u'pitch'}
7171,222632996,51.5356567,-0.3560121,park,,{u'leisure': u'park'}
7172,222632997,51.5354615,-0.3535069,park,,{u'leisure': u'park'}
7173,222636775,51.4529872,-0.367528,garden,,{u'leisure': u'garden'}
7174,222636776,51.4530017,-0.3676312,garden,,{u'leisure': u'garden'}
7175,222637512,51.5215283,-0.3668834,playground,,{u'leisure': u'playground'}
7176,222639566,51.5176544,-0.3654635,sports_centre,,"{u'building': u'public', u'name': u'Dormers Wells Leisure Centre', u'leisure': u'sports_centre'}"
7177,222639578,51.5175783,-0.3642018,recreation_ground,,{u'leisure': u'recreation_ground'}
7178,222643515,51.5182269,-0.3789369,playground,,{u'leisure': u'playground'}
7179,222643524,51.5177137,-0.3793494,playground,,{u'leisure': u'playground'}
