,id,center,lat,lon,amenity,classification,tags
2945,196385637,"{u'lat': 51.3780481, u'lon': -0.1022115}",51.3780481,-0.1022115,mobile_phone,,"{u'addr:housenumber': u'6', u'building': u'retail', u'name': u'Croydon Tech-Connect', u'shop': u'mobile_phone', u'source': u'survey', u'addr:street': u'Station Road'}"
2946,196385638,"{u'lat': 51.3786913, u'lon': -0.1015871}",51.3786913,-0.1015871,furniture,,"{u'addr:housenumber': u'44', u'building': u'retail', u'name': u'Discount Beds', u'shop': u'furniture', u'source': u'survey', u'addr:street': u'Station Road'}"
2947,196385643,"{u'lat': 51.3782856, u'lon': -0.1018682}",51.3782856,-0.1018682,mobile_phone,,"{u'addr:housenumber': u'18b', u'building': u'retail', u'name': u'Fone Town', u'shop': u'mobile_phone', u'source': u'survey', u'addr:street': u'Station Road'}"
2948,196385644,"{u'lat': 51.3785104, u'lon': -0.1020292}",51.3785104,-0.1020292,vacant,,"{u'addr:housenumber': u'13', u'building': u'retail', u'shop': u'vacant', u'source': u'survey', u'old_name': u'Food From The Heart', u'addr:street': u'Station Road'}"
2949,196385646,"{u'lat': 51.3786421, u'lon': -0.1016086}",51.3786421,-0.1016086,beauty,,"{u'addr:housenumber': u'42', u'building': u'retail', u'name': u""Freda's Hair And Beauty"", u'shop': u'beauty', u'source': u'survey', u'addr:street': u'Station Road'}"
2950,196385647,"{u'lat': 51.3781185, u'lon': -0.102014}",51.3781185,-0.102014,fabric,,"{u'addr:housenumber': u'12', u'building': u'retail', u'name': u'Home Sweet Home', u'shop': u'fabric', u'source': u'survey', u'addr:street': u'Station Road'}"
2951,196385650,"{u'lat': 51.3779381, u'lon': -0.1023208}",51.3779381,-0.1023208,vacant,,"{u'addr:housenumber': u'138-140', u'building': u'retail', u'source': u'survey', u'shop': u'vacant', u'addr:street': u'North End'}"
2952,196385653,"{u'lat': 51.3782116, u'lon': -0.1024638}",51.3782116,-0.1024638,electronics,,"{u'addr:housenumber': u'166', u'building': u'retail', u'name': u'Maplin', u'shop': u'electronics', u'source': u'survey', u'addr:street': u'North End'}"
2953,196385655,"{u'lat': 51.3784333, u'lon': -0.1017504}",51.3784333,-0.1017504,convenience,,"{u'addr:housenumber': u'30-32', u'building': u'retail', u'name': u'Mega Mall', u'shop': u'convenience', u'source': u'survey', u'addr:street': u'Station Road'}"
2954,196385656,"{u'lat': 51.3780722, u'lon': -0.1021446}",51.3780722,-0.1021446,clothes,,"{u'addr:housenumber': u'8', u'building': u'retail', u'name': u'New Fashion Looks', u'shop': u'clothes', u'source': u'survey', u'addr:street': u'Station Road'}"
2955,196385657,"{u'lat': 51.3783538, u'lon': -0.1018253}",51.3783538,-0.1018253,hairdresser,,"{u'addr:housenumber': u'22-24', u'shop': u'hairdresser', u'building': u'retail', u'addr:postcode': u'CR0 2RB', u'source': u'survey', u'addr:street': u'Station Road', u'name': u'Original Barber'}"
2956,196385659,"{u'lat': 51.3779978, u'lon': -0.1023668}",51.3779978,-0.1023668,bookmaker,,"{u'addr:housenumber': u'142', u'building': u'retail', u'name': u'Paddy Power', u'shop': u'bookmaker', u'source': u'survey', u'addr:street': u'North End'}"
2957,196385662,"{u'lat': 51.3784421, u'lon': -0.102074}",51.3784421,-0.102074,convenience,,"{u'addr:housenumber': u'11', u'building': u'retail', u'name': u'QV Mini Mart', u'shop': u'convenience', u'source': u'survey', u'addr:street': u'Station Road'}"
2958,196385663,"{u'lat': 51.3784842, u'lon': -0.1017186}",51.3784842,-0.1017186,deli,,"{u'addr:housenumber': u'34', u'building': u'retail', u'name': u'Solnishko', u'shop': u'deli', u'source': u'survey', u'addr:street': u'Station Road'}"
