id,lat,lon,amenity
2250381440,51.4785262,-0.1121224,bicycle_parking
2250382037,51.4803453,-0.1139999,bicycle_parking
2250385298,51.5056454,-0.1181788,bicycle_parking
2250386806,51.5053682,-0.118388,bicycle_parking
2250387247,51.478355,-0.148267,fuel
2250430396,51.505829,-0.1153732,bicycle_parking
2250440009,51.5051479,-0.1160867,bicycle_parking
2250441675,51.504617,-0.1167358,bicycle_parking
2250445309,51.5029708,-0.1176853,bicycle_parking
2250449687,51.5015583,-0.1164193,bicycle_parking
2250451654,51.5002292,-0.1186401,bicycle_parking
2250453426,51.4980084,-0.1193321,bicycle_parking
2250457008,51.4975743,-0.1161832,bicycle_parking
2250461053,51.4972737,-0.1165161,bicycle_parking
2250462463,51.4974874,-0.1166446,bicycle_parking
2250464748,51.4956707,-0.117358,bicycle_parking
2250467295,51.494904,-0.1211733,bicycle_parking
2250477183,51.4947823,-0.1202334,bicycle_parking
2250522953,51.4945518,-0.1195896,bicycle_parking
2250534231,51.4940208,-0.1158238,bicycle_parking
2250542766,51.4922874,-0.1181949,bicycle_parking
2250544237,51.4918365,-0.1186616,bicycle_parking
2250547290,51.4912785,-0.1179719,bicycle_parking
2250548722,51.4915025,-0.1185328,bicycle_parking
2250563250,51.4920469,-0.1202173,bicycle_parking
2250563251,51.4920836,-0.1203675,bicycle_parking
2250585147,51.4897222,-0.117181,bicycle_parking
2250587893,51.4893414,-0.117417,bicycle_parking
2250592872,51.4873372,-0.1221324,bicycle_parking
2250598240,51.486285,-0.1205499,bicycle_parking
2250601138,51.4864921,-0.1191176,bicycle_parking
2250617717,51.4865088,-0.1178623,bicycle_parking
2250621740,51.4867393,-0.116843,bicycle_parking
2250626873,51.4868562,-0.1156575,bicycle_parking
2250630103,51.485176,-0.1156843,bicycle_parking
2250634361,51.4853062,-0.1200456,bicycle_parking
2250645781,51.4860278,-0.1220412,bicycle_parking
2250656808,51.486118,-0.123334,bicycle_parking
2250676342,51.4861414,-0.1238543,bicycle_parking
2250678972,51.4858474,-0.124541,bicycle_parking
2250681748,51.4845446,-0.1247877,bicycle_parking
2250684139,51.4843141,-0.1248575,bicycle_parking
2250686073,51.4843909,-0.1230765,bicycle_parking
2250689061,51.4816616,-0.1246644,bicycle_parking
2250696608,51.4794967,-0.1265634,bicycle_parking
2250696968,51.4795769,-0.1276416,bicycle_parking
2250697669,51.4795702,-0.1257694,bicycle_parking
2250698347,51.4790925,-0.1237524,bicycle_parking
2250704081,51.4793506,-0.128748,bicycle_parking
2250708143,51.4783274,-0.1293582,bicycle_parking
2250714071,51.479303,-0.1233823,bicycle_parking
2250717118,51.4789555,-0.1234091,bicycle_parking
2250719385,51.4784711,-0.1233554,bicycle_parking
2250725724,51.4795268,-0.120802,bicycle_parking
2250725731,51.4798642,-0.1210541,bicycle_parking
2250725734,51.4798008,-0.1209361,bicycle_parking
2250786888,51.4807696,-0.117932,bicycle_parking
2250787904,51.4837763,-0.1227064,bicycle_parking
2250787905,51.4839366,-0.1203031,bicycle_parking
2250789493,51.4842506,-0.1207322,bicycle_parking
2250794597,51.484401,-0.1204265,bicycle_parking
2250796521,51.4841371,-0.1195735,bicycle_parking
2250796522,51.4845112,-0.1202173,bicycle_parking
